importer,archive,scope,caller_class,symbol,reference_kinds,lines
experiments/foundry_det_pass.py,False,legacy_executable,codebook or membership mutation,is_lattice_pattern,qualified_attribute,111
experiments/foundry_det_pass.py,False,legacy_executable,codebook or membership mutation,is_prefilter_pattern,qualified_attribute,282
experiments/foundry_det_pass.py,False,legacy_executable,codebook or membership mutation,load_corpus_gated,qualified_attribute,393;507;551
experiments/foundry_det_pass.py,False,legacy_executable,codebook or membership mutation,pattern_slug,qualified_attribute,280
experiments/foundry_det_pass.py,False,legacy_executable,codebook or membership mutation,write_json,qualified_attribute,460;461
experiments/foundry_det_patterns_probe.py,False,legacy_executable,reporter/census,CARDNAME_TOKEN,qualified_attribute,84;87
experiments/foundry_det_patterns_probe.py,False,legacy_executable,reporter/census,FOUNDRY_OUT_DIR,qualified_attribute,23;191
experiments/foundry_det_patterns_probe.py,False,legacy_executable,reporter/census,det_scan_texts,qualified_attribute,201
experiments/foundry_det_patterns_probe.py,False,legacy_executable,reporter/census,load_corpus_gated,qualified_attribute,193
experiments/foundry_det_patterns_probe.py,False,legacy_executable,reporter/census,write_json,qualified_attribute,260
experiments/foundry_digest.py,False,legacy_executable,codebook or membership mutation,batch_paths,qualified_attribute,108
experiments/foundry_emit.py,False,legacy_executable,codebook or membership mutation,build_review_card_record,qualified_attribute,84
experiments/foundry_emit.py,False,legacy_executable,codebook or membership mutation,halt,qualified_attribute,42;46;48;52;56;81
experiments/foundry_emit.py,False,legacy_executable,codebook or membership mutation,load_corpus,qualified_attribute,78
experiments/foundry_emit.py,False,legacy_executable,codebook or membership mutation,write_json,qualified_attribute,95
experiments/foundry_enrich.py,False,legacy_executable,codebook or membership mutation,batch_paths,qualified_attribute,362
experiments/foundry_enrich.py,False,legacy_executable,codebook or membership mutation,halt,qualified_attribute,105
experiments/foundry_enrich.py,False,legacy_executable,codebook or membership mutation,load_corpus,qualified_attribute,300
experiments/foundry_enrich.py,False,legacy_executable,codebook or membership mutation,raw_faces,qualified_attribute,71;175;277
experiments/foundry_enrich.py,False,legacy_executable,codebook or membership mutation,write_json,qualified_attribute,394;398
experiments/foundry_gate0_scrub.py,False,legacy_executable,gate/check,FOUNDRY_OUT_DIR,qualified_attribute,31;32
experiments/foundry_gate0_scrub.py,False,legacy_executable,gate/check,gate_passes,qualified_attribute,59
experiments/foundry_gate0_scrub.py,False,legacy_executable,gate/check,halt,qualified_attribute,77
experiments/foundry_gate0_scrub.py,False,legacy_executable,gate/check,load_corpus,qualified_attribute,36
experiments/foundry_gate0_scrub.py,False,legacy_executable,gate/check,write_json,qualified_attribute,82
experiments/foundry_keyword_buckets.py,False,legacy_executable,operator/CLI,FOUNDRY_OUT_DIR,qualified_attribute,35;36
experiments/foundry_keyword_buckets.py,False,legacy_executable,operator/CLI,halt,qualified_attribute,87
experiments/foundry_keyword_buckets.py,False,legacy_executable,operator/CLI,write_json,qualified_attribute,127
experiments/foundry_locality.py,False,legacy_executable,codebook or membership mutation,FOUNDRY_OUT_DIR,qualified_attribute,196;298;299;331
experiments/foundry_locality.py,False,legacy_executable,codebook or membership mutation,canonicalize_self_reference,string_symbol_reference,154
experiments/foundry_locality.py,False,legacy_executable,codebook or membership mutation,halt,qualified_attribute,169;426;433;448;451
experiments/foundry_locality.py,False,legacy_executable,codebook or membership mutation,load_corpus_gated,qualified_attribute,476
experiments/foundry_locality.py,False,legacy_executable,codebook or membership mutation,raw_faces,string_symbol_reference,153
experiments/foundry_locality.py,False,legacy_executable,codebook or membership mutation,write_json,qualified_attribute,454
experiments/foundry_locality_backfill.py,False,legacy_executable,codebook or membership mutation,FOUNDRY_OUT_DIR,qualified_attribute,72
experiments/foundry_locality_backfill.py,False,legacy_executable,codebook or membership mutation,halt,qualified_attribute,162;168;170;174;179;183;237;246;266;269;272;292;341;353;363;398;406;434;555;556;583
experiments/foundry_locality_backfill.py,False,legacy_executable,codebook or membership mutation,load_corpus_gated,qualified_attribute,577
experiments/foundry_locality_backfill.py,False,legacy_executable,codebook or membership mutation,write_json,qualified_attribute,365
experiments/foundry_membership_move.py,False,legacy_executable,codebook or membership mutation,halt,qualified_attribute,54;73;76;103;123;125;127;131;134;147;168;170;173;175;183;214;216;219;242;246;256;264;266;280;292;294;297;326;349
experiments/foundry_migrate_codebook_v2.py,False,legacy_executable,codebook or membership mutation,CONFIG_SEMANTIC,qualified_attribute,68
experiments/foundry_migrate_codebook_v2.py,False,legacy_executable,codebook or membership mutation,FOUNDRY_OUT_DIR,qualified_attribute,63
experiments/foundry_migrate_codebook_v2.py,False,legacy_executable,codebook or membership mutation,det_scan_texts,qualified_attribute,333
experiments/foundry_migrate_codebook_v2.py,False,legacy_executable,codebook or membership mutation,full_oracle_text,qualified_attribute,296
experiments/foundry_migrate_codebook_v2.py,False,legacy_executable,codebook or membership mutation,halt,qualified_attribute,119;189;258;271;275;289;317;320;343;397;424;440
experiments/foundry_migrate_codebook_v2.py,False,legacy_executable,codebook or membership mutation,load_corpus,qualified_attribute,331
experiments/foundry_migrate_codebook_v2.py,False,legacy_executable,codebook or membership mutation,load_corpus_gated,qualified_attribute,332
experiments/foundry_migrate_codebook_v2.py,False,legacy_executable,codebook or membership mutation,resolve_name,qualified_attribute,295
experiments/foundry_migrate_codebook_v2.py,False,legacy_executable,codebook or membership mutation,write_json,qualified_attribute,469
experiments/foundry_object_lattice.py,False,legacy_executable,codebook or membership mutation,CONFIG_SEMANTIC,qualified_attribute,255
experiments/foundry_object_lattice.py,False,legacy_executable,codebook or membership mutation,FOUNDRY_OUT_DIR,qualified_attribute,476;477
experiments/foundry_object_lattice.py,False,legacy_executable,codebook or membership mutation,REPO_ROOT,qualified_attribute,95
experiments/foundry_object_lattice.py,False,legacy_executable,codebook or membership mutation,det_scan_texts,string_symbol_reference,131
experiments/foundry_object_lattice.py,False,legacy_executable,codebook or membership mutation,full_oracle_text,qualified_attribute,411
experiments/foundry_object_lattice.py,False,legacy_executable,codebook or membership mutation,halt,qualified_attribute,145;212;216;286;292;297
experiments/foundry_object_lattice.py,False,legacy_executable,codebook or membership mutation,load_corpus_gated,qualified_attribute,180;187;197;397;494;731
experiments/foundry_object_lattice.py,False,legacy_executable,codebook or membership mutation,write_json,qualified_attribute,589
experiments/foundry_prior_art.py,False,legacy_executable,operator/CLI,REPO_ROOT,qualified_attribute,64;65
experiments/foundry_prior_art.py,False,legacy_executable,operator/CLI,det_scan_texts,string_symbol_reference,165
experiments/foundry_prior_art.py,False,legacy_executable,operator/CLI,halt,qualified_attribute,95;107;158;210;253
experiments/foundry_r5_attribution.py,False,legacy_executable,codebook or membership mutation,FOUNDRY_OUT_DIR,qualified_attribute,50
experiments/foundry_r5_attribution.py,False,legacy_executable,codebook or membership mutation,halt,qualified_attribute,86;155;190
experiments/foundry_reach_census.py,False,legacy_executable,reporter/census,det_scan_texts,qualified_attribute,156
experiments/foundry_reach_census.py,False,legacy_executable,reporter/census,full_oracle_text,qualified_attribute,202;354
experiments/foundry_reach_census.py,False,legacy_executable,reporter/census,halt,qualified_attribute,78;83;256
experiments/foundry_reaudit.py,False,legacy_executable,gate/check,FOUNDRY_OUT_DIR,qualified_attribute,32
experiments/foundry_reaudit.py,False,legacy_executable,gate/check,_cardname_candidates,qualified_attribute,53
experiments/foundry_reaudit.py,False,legacy_executable,gate/check,full_oracle_text,qualified_attribute,156
experiments/foundry_reaudit.py,False,legacy_executable,gate/check,load_corpus,qualified_attribute,104
experiments/foundry_reconcile.py,False,legacy_executable,codebook or membership mutation,FOUNDRY_OUT_DIR,qualified_attribute,59;61;62
experiments/foundry_reconcile.py,False,legacy_executable,codebook or membership mutation,halt,qualified_attribute,74;86;95;106;108;110;115;176;178;224;226;245;261;307;310
experiments/foundry_reconcile.py,False,legacy_executable,codebook or membership mutation,write_json,qualified_attribute,293;335
experiments/foundry_reminder_conformance.py,False,legacy_executable,codebook or membership mutation,CONFIG_SEMANTIC,qualified_attribute,74
experiments/foundry_reminder_conformance.py,False,legacy_executable,codebook or membership mutation,det_scan_texts,qualified_attribute,103
experiments/foundry_reminder_conformance.py,False,legacy_executable,codebook or membership mutation,halt,qualified_attribute,76;82
experiments/foundry_reminder_conformance.py,False,legacy_executable,codebook or membership mutation,load_corpus_gated,qualified_attribute,95
experiments/foundry_selfother_scope.py,False,legacy_executable,operator/CLI,canonicalize_self_reference,qualified_attribute,124
experiments/foundry_selfother_scope.py,False,legacy_executable,operator/CLI,halt,qualified_attribute,146;151
experiments/foundry_selfother_scope.py,False,legacy_executable,operator/CLI,load_corpus_gated,qualified_attribute,141
experiments/foundry_shape_extractor.py,False,legacy_executable,operator/CLI,CONFIG_GENERATED,qualified_attribute,85
experiments/foundry_shape_extractor.py,False,legacy_executable,operator/CLI,REPO_ROOT,qualified_attribute,84
experiments/foundry_shape_extractor.py,False,legacy_executable,operator/CLI,_DIE_ROW_RE,string_symbol_reference,100
experiments/foundry_shape_extractor.py,False,legacy_executable,operator/CLI,_MODAL_HEADER_RE,string_symbol_reference,98
experiments/foundry_shape_extractor.py,False,legacy_executable,operator/CLI,_ROLL_INSTRUCTION_RE,string_symbol_reference,99
experiments/foundry_shape_extractor.py,False,legacy_executable,operator/CLI,canonicalize_self_reference,string_symbol_reference,96
experiments/foundry_shape_extractor.py,False,legacy_executable,operator/CLI,full_oracle_text,string_symbol_reference,95
experiments/foundry_shape_extractor.py,False,legacy_executable,operator/CLI,halt,qualified_attribute,117;125;184;324
